PASCOA PISTACHE CROCANTE,21050090,0.0,ST,nan
BANANA SPLIT,21050090,0.0,ST,nan
CAPIRINHA - SHAKE ALCOOL,21050090,0.0,ST,nan
DOCE DE LEITE - SRVT,19019020,0.0,ST,nan
MIX BIS 250ML,21050090,0.0,ST,nan
TRUFADO LAKA CREMOSO,21050090,0.0,ST,2300100
CREME DE KINDER,21050090,0.0,ST,nan
AMAZONELLA - PICOLE,21050090,0.0,ST,nan
MEIA NOITE 400ML - MILK SHAKE,21050090,0.0,ST,nan
TRUFADO OVOMALTINE,21050090,0.0,ST,2300100
MIX MERENGUE 250ML,21050090,0.0,ST,nan
PETIT GATEAU,19059090,0.0,ST,nan
ADC LEITE NINHO CREMOSO,21050090,0.0,ST,2300100
KIDS PANDA - MIXZINHO,21050090,0.0,ST,nan
PACOQUINHA - PICOLE,21050090,0.0,ST,nan
ADC COBERTURA CARAMELO,19019090,0.0,ST,1704600
ACAI 700ML - SHAKE BATIDO,21050090,0.0,ST,2300100
OPC TRUFA DE MARACUJA,21050090,0.0,ST,nan
BANANA C AMAZONELLA - PICOLE,21050090,0.0,ST,nan
SUCO DEL VALE MANGA LATA,22021000,0.0,ST,nan
OPC LEITE NINHO CROCANTE,21050090,0.0,ST,nan
TACA FERRERO ROCHER,18069000,0.0,ST,nan
OPC DOCE DE LEITE,19019020,0.0,ST,nan
OPC LAKA OREO,21050090,0.0,ST,nan
SALADA DE FRUTAS 400ML,20089710,0.0,ST,nan
FRAPP MORANGO,18062000,0.0,ST,nan
OPCAO SOFTNINHO,18062000,0.0,ST,nan
MORANGO SPLIT,21050090,0.0,ST,nan
OPC OVOMALTINE,18062000,0.0,ST,nan
MASSA ACAI,21050090,0.0,ST,2300100
OPC CHAMBINHO,04039000,0.0,ST,nan
CASQUINHA MISTA,21050090,0.0,ST,nan
COMBO KINDER,21050090,0.0,ST,nan
ADC BROWNIE,19059090,18.0,TRIBUTADO,nan
COMBO OHANA,21050090,0.0,ST,nan
ADC KIWI,08105000,18.0,TRIBUTADO,nan
ADC MORANGO,20079990,18.0,TRIBUTADO,nan
CASQUINHA RECHEADAS,21050090,0.0,ST,nan
MARACUJA - PICOLE,21050090,0.0,ST,nan
